SeatCd,State,Seat,Location_DS,Metro/Regional,Sydney,Melbourne,Brisbane,Adelaide,Perth
1,ACT,CANBERRA,ACT,Regional,,,,,
2,ACT,FRASER,ACT,Regional,,,,,
3,NSW,BANKS,Southern Sydney,Metro,1,0,0,0,0
4,NSW,BARTON,Southern Sydney,Metro,1,0,0,0,0
5,NSW,BENNELONG,Northern Sydney,Metro,1,0,0,0,0
6,NSW,BEROWRA,Northern Sydney,Metro,1,0,0,0,0
7,NSW,BLAXLAND,Western Sydney,Metro,1,0,0,0,0
8,NSW,BRADFIELD,Northern Sydney,Metro,1,0,0,0,0
9,NSW,CALARE,West NSW,Regional,0,0,0,0,0
10,NSW,CHARLTON,Central Coast NSW,Regional,0,0,0,0,0
11,NSW,CHIFLEY,Western Sydney,Metro,1,0,0,0,0
12,NSW,COOK,Southern Sydney,Metro,1,0,0,0,0
13,NSW,COWPER,Northern NSW,Regional,0,0,0,0,0
14,NSW,CUNNINGHAM,Wollongong,Regional,0,0,0,0,0
15,NSW,DOBELL,Central Coast NSW,Regional,0,0,0,0,0
16,NSW,EDEN-MONARO,Southern NSW,Regional,0,0,0,0,0
17,NSW,FARRER,Western NSW,Regional,0,0,0,0,0
18,NSW,FOWLER,Western Sydney,Metro,1,0,0,0,0
19,NSW,GILMORE,Southern NSW,Regional,0,0,0,0,0
20,NSW,GRAYNDLER,Inner Sydney,Metro,1,0,0,0,0
21,NSW,GREENWAY,Western Sydney,Metro,1,0,0,0,0
22,NSW,HUGHES,Western Sydney,Metro,1,0,0,0,0
23,NSW,HUME,West NSW,Regional,0,0,0,0,0
24,NSW,HUNTER,North NSW,Regional,0,0,0,0,0
25,NSW,KINGSFORD-SMITH,Inner Sydney,Metro,1,0,0,0,0
26,NSW,LINDSAY,Western Sydney,Metro,1,0,0,0,0
27,NSW,LYNE,Northern NSW,Regional,0,0,0,0,0
28,NSW,MACARTHUR,Southern NSW,Regional,0,0,0,0,0
29,NSW,MACKELLAR,Northern Sydney,Metro,1,0,0,0,0
30,NSW,MACQUARIE,Western NSW,Regional,0,0,0,0,0
31,NSW,MCMAHON,Western Sydney,Metro,1,0,0,0,0
32,NSW,MITCHELL,Western Sydney,Metro,1,0,0,0,0
33,NSW,NEW ENGLAND,Northern NSW,Regional,0,0,0,0,0
34,NSW,NEWCASTLE,Northern NSW,Regional,0,0,0,0,0
35,NSW,NORTH SYDNEY,Northern Sydney,Metro,1,0,0,0,0
36,NSW,PAGE,Northern NSW,Regional,0,0,0,0,0
37,NSW,PARKES,Western NSW,Regional,0,0,0,0,0
38,NSW,PARRAMATTA,Western Sydney,Metro,1,0,0,0,0
39,NSW,PATERSON,Northern NSW,Regional,0,0,0,0,0
40,NSW,REID,Western Sydney,Metro,1,0,0,0,0
41,NSW,RICHMOND,Northern NSW,Regional,0,0,0,0,0
42,NSW,RIVERINA,Western NSW,Regional,0,0,0,0,0
43,NSW,ROBERTSON,Central Coast NSW,Regional,0,0,0,0,0
44,NSW,SHORTLAND,Central Coast NSW,Regional,0,0,0,0,0
45,NSW,SYDNEY,Inner Sydney,Metro,1,0,0,0,0
46,NSW,THROSBY,Southern NSW,Regional,0,0,0,0,0
47,NSW,WARRINGAH,Northern Sydney,Metro,1,0,0,0,0
48,NSW,WATSON,Western Sydney,Metro,1,0,0,0,0
49,NSW,WENTWORTH,Inner Sydney,Metro,1,0,0,0,0
50,NSW,WERRIWA,Western Sydney,Metro,1,0,0,0,0
51,NT,LINGIARI,NT,Regional,0,0,0,0,0
52,NT,SOLOMON,Darwin,Regional,0,0,0,0,0
53,QLD,BLAIR,South East Regional Qld,Regional,0,0,0,0,0
54,QLD,BONNER,East Brisbane,Metro,0,0,1,0,0
55,QLD,BOWMAN,East Brisbane,Metro,0,0,1,0,0
56,QLD,BRISBANE,Inner Brisbane,Metro,0,0,1,0,0
57,QLD,CAPRICORNIA,Rockhampton,Regional,0,0,0,0,0
58,QLD,DAWSON,"Mackay, Proserpine",Regional,0,0,0,0,0
59,QLD,DICKSON,Northern Brisbane,Metro,0,0,1,0,0
60,QLD,FADDEN,Southern Brisbane,Metro,0,0,1,0,0
61,QLD,FAIRFAX,Maroochydore,Regional,0,0,0,0,0
62,QLD,FISHER,Sunshine Coast,Regional,0,0,0,0,0
63,QLD,FLYNN,"Gladstone, Emerald",Regional,0,0,0,0,0
64,QLD,FORDE,Southern Brisbane,Metro,0,0,1,0,0
65,QLD,GRIFFITH,Inner Brisbane,Metro,0,0,1,0,0
66,QLD,GROOM,Toowoomba,Regional,0,0,0,0,0
67,QLD,HERBERT,Townsville,Regional,0,0,0,0,0
68,QLD,HINKLER,"Bundaberg, Hervey Bay",Regional,0,0,0,0,0
69,QLD,KENNEDY,"Mt Isa, Charters Towers",Regional,0,0,0,0,0
70,QLD,LEICHHARDT,"Cairns, Cape York",Regional,0,0,0,0,0
71,QLD,LILLEY,Northern Brisbane,Metro,0,0,1,0,0
72,QLD,LONGMAN,Sunshine Coast,Regional,0,0,0,0,0
73,QLD,MARANOA,Far West Qld,Regional,0,0,0,0,0
74,QLD,MCPHERSON,Gold Coast,Regional,0,0,0,0,0
75,QLD,MONCRIEFF,Gold Cast,Regional,0,0,0,0,0
76,QLD,MORETON,Southern Brisbane,Metro,0,0,1,0,0
