"","V1","V2","V3","V4","V5","V6"
"1",-6,-5,-4.5,-5,-6,-6.5
"2",-4.5,-3.5,-3,-3.5,-4.5,-5
"3",-3,-2,-1.5,-2,-3,-3.5
"4",-1.5,-0.5,0,-0.5,-1.5,-2
"5",-1.5,-0.5,0,-0.5,-1.5,-2
"6",-3,-2,-1.5,-2,-3,-3.5
"7",-3,-2,-1.5,-2,-3,-3.5
"8",0,1,1.5,1,0,-0.5
"9",-6,-5,-4.5,-5,-6,-6.5
"10",-1.5,-0.5,0,-0.5,-1.5,-2
"11",-4.5,-3.5,-3,-3.5,-4.5,-5
"12",0,1,1.5,1,0,-0.5
"13",1.5,2.5,3,2.5,1.5,1
"14",-1.5,-0.5,0,-0.5,-1.5,-2
"15",-1.5,-0.5,0,-0.5,-1.5,-2
"16",-1.5,-0.5,0,-0.5,-1.5,-2
"17",-7.5,-6.5,-6,-6.5,-7.5,-8
"18",-6,-5,-4.5,-5,-6,-6.5
"19",-3,-2,-1.5,-2,-3,-3.5
"20",0,1,1.5,1,0,-0.5
"21",-4.5,-3.5,-3,-3.5,-4.5,-5
"22",-1.5,-0.5,0,-0.5,-1.5,-2
"23",-6,-5,-4.5,-5,-6,-6.5
"24",-3,-2,-1.5,-2,-3,-3.5
"25",1.5,2.5,3,2.5,1.5,1
"26",-6,-5,-4.5,-5,-6,-6.5
"27",0,1,1.5,1,0,-0.5
"28",-4.5,-3.5,-3,-3.5,-4.5,-5
"29",1.5,2.5,3,2.5,1.5,1
"30",-6,-5,-4.5,-5,-6,-6.5
"31",-4.5,-3.5,-3,-3.5,-4.5,-5
"32",-3,-2,-1.5,-2,-3,-3.5
"33",-3,-2,-1.5,-2,-3,-3.5
"34",0,1,1.5,1,0,-0.5
"35",0,1,1.5,1,0,-0.5
"36",0,1,1.5,1,0,-0.5
"37",-4.5,-3.5,-3,-3.5,-4.5,-5
"38",-3,-2,-1.5,-2,-3,-3.5
"39",-1.5,-0.5,0,-0.5,-1.5,-2
"40",-1.5,-0.5,0,-0.5,-1.5,-2
"41",1.5,2.5,3,2.5,1.5,1
"42",-7.5,-6.5,-6,-6.5,-7.5,-8
"43",0,1,1.5,1,0,-0.5
"44",0,1,1.5,1,0,-0.5
"45",0,1,1.5,1,0,-0.5
"46",-3,-2,-1.5,-2,-3,-3.5
"47",1.5,2.5,3,2.5,1.5,1
"48",-1.5,-0.5,0,-0.5,-1.5,-2
"49",1.5,2.5,3,2.5,1.5,1
"50",-4.5,-3.5,-3,-3.5,-4.5,-5
