,Division,Colour,Alpha,Favourite,Prob,ALPProb
135,Wills,#FF0000CC,0.8004926947,ALP,0.9002463474,0.9002463474
91,Port Adelaide,#FF0000C1,0.7554727546,ALP,0.8777363773,0.8777363773
112,Gellibrand,#FF0000BC,0.7358436487,ALP,0.8679218243,0.8679218243
2,Fraser,#FF0000BB,0.7315471398,ALP,0.8657735699,0.8657735699
108,Corio,#FF0000BA,0.7299128954,ALP,0.8649564477,0.8649564477
118,Hotham,#FF0000BA,0.7299128954,ALP,0.8649564477,0.8649564477
124,Lalor,#FF0000BA,0.7299128954,ALP,0.8649564477,0.8649564477
104,Calwell,#FF0000BA,0.72988487,ALP,0.864942435,0.864942435
115,Gorton,#FF0000BA,0.72988487,ALP,0.864942435,0.864942435
117,Holt,#FF0000B8,0.7202515511,ALP,0.8601257756,0.8601257756
133,Scullin,#FF0000B7,0.716155752,ALP,0.858077876,0.858077876
126,Maribyrnong,#FF0000B4,0.7066743156,ALP,0.8533371578,0.8533371578
65,Griffith,#FF0000B3,0.7007874016,ALP,0.8503937008,0.8503937008
45,Sydney,#FF0000B0,0.6890611019,ALP,0.844530551,0.844530551
88,Kingston,#FF0000B0,0.6885418284,ALP,0.8442709142,0.8442709142
89,Makin,#FF0000AE,0.6810604293,ALP,0.8405302147,0.8405302147
14,Cunningham,#FF0000AD,0.6798656108,ALP,0.8399328054,0.8399328054
101,Batman,#FF0000AD,0.6791090845,ALP,0.8395545422,0.8395545422
44,Shortland,#FF0000AC,0.6744080328,ALP,0.8372040164,0.8372040164
24,Hunter,#FF0000A9,0.6610365434,ALP,0.8305182717,0.8305182717
100,Ballarat,#FF0000A6,0.6492654532,ALP,0.8246327266,0.8246327266
48,Watson,#FF0000A4,0.6413380847,ALP,0.8206690424,0.8206690424
20,Grayndler,#FF0000A3,0.6380829553,ALP,0.8190414777,0.8190414777
10,Charlton,#FF0000A2,0.6372492731,ALP,0.8186246365,0.8186246365
120,Isaacs,#FF0000A2,0.6372492731,ALP,0.8186246365,0.8186246365
1,Canberra,#FF0000A2,0.6360902256,ALP,0.8180451128,0.8180451128
31,McMahon,#FF0000A0,0.6268451618,ALP,0.8134225809,0.8134225809
